uid,version,timeToCheckout,timeToFirstAddToCart
10150415650,a,112905,18698
7352462177,b,161004,25520
4561040727,b,39887,11378
2372653710,a,79341,10241
20636101631,b,45460,7911
37022457665,a,46161,11470
32304744545,a,,35923
16341577563,b,120612,40717
10400347704,b,81696,20143
27225223314,a,,
5271226313,b,96865,51333
23542435765,b,73892,46080
13777577525,a,123883,15892
31374635467,a,30517,17090
2327735375,b,91334,43222
15102313004,b,53731,16692
13271557631,a,,15485
23447330232,b,125016,31385
33775003276,b,,
21576226335,b,54139,16892
2646425056,b,58305,21908
4512040325,b,,
1102405711,b,92787,28464
24302306014,a,90092,26443
15153333334,b,117565,20417
23774562321,b,126301,42408
36014126510,a,141590,7205
3006073336,b,88131,28304
5124442115,a,,
30617132406,b,25513,7734
3450566174,a,37540,11356
4524344016,a,106634,23168
14110152551,b,35052,29425
36554357054,a,,26506
3323152175,b,49406,14093
5510677775,b,134018,38015
15307364372,b,,86718
14714731514,a,41554,28242
6153001506,a,,
23421414071,a,,3572
15120517235,a,41890,11792
5342351306,a,137003,57472
10262370027,b,,
30757257734,a,,
12651744023,a,127767,20237
13172100056,b,77593,37558
21441530003,b,48477,5380
11425650767,a,144249,58638
25616667243,a,236283,45761
24132363416,a,60018,21075
15507466426,a,45028,9978
22332643322,a,73098,43278
30214075445,a,17815,2728
15714467025,b,,
22103036321,b,88323,41974
35264450763,a,56268,18670
24002654472,b,61359,38812
6243405316,a,,24069
21523006126,b,59698,21997
16120671665,a,46711,5846
23303025407,b,,13437
30367647236,a,78053,35413
37441415516,b,36097,21370
1771121003,a,,
31210500355,b,65134,22735
36371757724,a,59559,32895
14256167637,b,63363,21659
22243747441,a,65168,13503
12261734321,a,,
32615402622,a,27501,9322
3270372171,a,,21882
21156441011,a,85601,39890
30157775536,a,47115,21689
13575022507,b,66199,26975
17757013603,b,93931,41830
27516410201,a,,
25435701563,b,113404,46107
30732067341,a,72720,25157
6577637174,b,,3884
32777301727,b,173721,62321
34135647511,a,64263,26007
1601247661,b,125973,78452
27335254424,a,,
25347331742,b,80234,35584
34746251635,b,145852,130929
15720315315,b,118552,52318
34071537674,b,75210,57523
33641460736,a,61923,12930
23160513623,b,22525,18179
24161725451,b,,
515543376,a,,
27314044641,b,66572,19325
